"Category"	"Unique Reads"	"Duplicate Reads"
"F3D0_S188_L001_R1_001"	426	7367
"F3D141_S207_L001_R1_001"	298	5660
"F3D142_S208_L001_R1_001"	238	2945
"F3D143_S209_L001_R1_001"	214	2964
"F3D144_S210_L001_R1_001"	282	4545
"F3D145_S211_L001_R1_001"	343	7034
"F3D146_S212_L001_R1_001"	287	4734
"F3D147_S213_L001_R1_001"	602	16468
"F3D148_S214_L001_R1_001"	516	11889
"F3D149_S215_L001_R1_001"	505	12578
"F3D150_S216_L001_R1_001"	337	5172
"F3D1_S189_L001_R1_001"	366	5503
"F3D2_S190_L001_R1_001"	676	18944
"F3D3_S191_L001_R1_001"	333	6425
"F3D5_S193_L001_R1_001"	261	4187
"F3D6_S194_L001_R1_001"	397	7592
"F3D7_S195_L001_R1_001"	271	4858
"F3D8_S196_L001_R1_001"	331	4963
"F3D9_S197_L001_R1_001"	361	6709